bias,time,
0.100000001490116,1615879266.6797,
0.100000001490116,1615879266.88067,
0.100000001490116,1615879267.08346,
0.100000001490116,1615879267.2841,
0.100000001490116,1615879267.48639,
0.100000001490116,1615879267.68652,
0.100000001490116,1615879267.88927,
0.100000001490116,1615879268.09415,
0.100000001490116,1615879268.29635,
0.100000001490116,1615879268.50069,
0.100000001490116,1615879268.7052,
0.100000001490116,1615879268.90717,
0.100000001490116,1615879269.11204,
0.100000001490116,1615879269.31357,
0.100000001490116,1615879269.51389,
0.100000001490116,1615879269.71713,
0.100000001490116,1615879269.91899,
0.100000001490116,1615879270.1213,
0.100000001490116,1615879270.32069,
0.100000001490116,1615879270.52327,
0.100000001490116,1615879270.72472,
0.100000001490116,1615879270.92752,
0.100000001490116,1615879271.1292,
0.100000001490116,1615879271.33194,
0.100000001490116,1615879271.53415,
0.100000001490116,1615879271.73526,
0.100000001490116,1615879271.93734,
0.100000001490116,1615879272.13832,
0.100000001490116,1615879272.34167,
0.100000001490116,1615879272.54298,
0.100000001490116,1615879272.7444,
0.100000001490116,1615879272.94463,
0.100000001490116,1615879273.14721,
0.100000001490116,1615879273.34951,
0.100000001490116,1615879273.55247,
0.100000001490116,1615879273.75296,
0.100000001490116,1615879273.95384,
0.100000001490116,1615879274.15502,
0.100000001490116,1615879274.35818,
0.100000001490116,1615879274.55986,
0.100000001490116,1615879274.76176,
0.100000001490116,1615879274.96212,
0.100000001490116,1615879275.1633,
0.100000001490116,1615879275.36605,
0.100000001490116,1615879275.56724,
0.100000001490116,1615879275.76971,
0.100000001490116,1615879275.97142,
0.100000001490116,1615879276.17292,
0.100000001490116,1615879276.37358,
0.200000002980232,1615879276.57595,
0.200000002980232,1615879276.77625,
0.200000002980232,1615879276.98088,
0.200000002980232,1615879277.18035,
0.200000002980232,1615879277.38176,
0.200000002980232,1615879277.5836,
0.200000002980232,1615879277.78436,
0.200000002980232,1615879277.98708,
0.200000002980232,1615879278.19014,
0.200000002980232,1615879278.39047,
0.200000002980232,1615879278.59228,
0.200000002980232,1615879278.79505,
